timestamp,elapsed_secs,total_ops,throughput_ops_per_sec,latency_p50_us,latency_p95_us,latency_p99_us,latency_max_us,errors
2026-02-10T10:00:05.123Z,5.0,5012,1002.4,38,115,142,1823,0
2026-02-10T10:00:10.123Z,10.0,10008,1000.8,39,118,145,1956,0
2026-02-10T10:00:15.123Z,15.0,15024,1001.6,37,112,139,1745,0
2026-02-10T10:00:20.123Z,20.0,19998,999.9,40,121,148,2103,0
2026-02-10T10:00:25.123Z,25.0,25015,1000.6,38,116,143,1892,0
2026-02-10T10:00:30.123Z,30.0,30002,1000.1,39,119,146,1967,0
2026-02-10T10:00:35.123Z,35.0,35009,1000.3,37,113,140,1834,0
2026-02-10T10:00:40.123Z,40.0,39987,999.7,40,122,149,2045,0
2026-02-10T10:00:45.123Z,45.0,45018,1000.4,38,117,144,1901,0
2026-02-10T10:00:50.123Z,50.0,50005,1000.1,39,120,147,1978,0
2026-02-10T10:00:55.123Z,55.0,55012,1000.2,38,115,142,1856,0
2026-02-10T10:01:00.123Z,60.0,59999,1000.0,39,118,145,1989,0
